[User ID]	[Service ID]	[RT]	[User Country]	[User AS]	[Service Country]	[Service AS]
135	5485	0.37	25	123	9	119
49	2555	0.323	29	63	62	299
233	1193	1.543	29	64	22	292
171	96	1.503	29	83	2	804
107	2538	0.869	29	128	62	743
29	3684	0.585	28	126	70	238
91	1395	0.227	15	17	23	43
117	1857	0.572	9	100	34	79
8	972	0.619	29	133	18	43
251	4696	0.297	13	9	70	796
288	4795	0.209	29	107	70	43
230	1515	0.589	29	82	27	80
205	2191	0.218	19	134	50	43
86	289	0.178	9	130	9	203
105	3819	0.156	8	41	70	387
94	3309	0.045	29	97	70	210
214	4777	0.551	16	60	70	868
285	2059	8.973	9	113	44	43
241	1779	0.114	27	101	33	43
335	3221	0.228	29	55	70	372
265	4345	0.166	8	49	70	791
237	5440	0.479	27	101	0	43
292	3994	0.102	2	2	70	482
287	71	0.407	29	69	1	343
241	4470	0.321	27	101	70	239
215	1322	0.456	16	60	23	43
338	3978	0.063	29	87	70	43
80	1213	0.184	15	17	22	43
27	3039	0.187	29	110	69	275
78	2821	0.046	9	113	69	43
129	2813	0.687	11	84	69	43
14	1479	0.493	29	11	23	496
248	4790	5.675	29	116	70	735
282	5445	0.362	19	102	43	50
331	5124	0.829	22	13	57	665
271	4521	0.488	19	10	70	237
199	5153	0.278	29	16	9	457
59	950	0.405	29	66	17	270
129	5357	0.984	11	84	70	762
303	4464	0.294	16	60	70	10
254	142	0.076	20	40	4	43
127	4688	0.598	29	7	70	796
295	3680	0.015	29	19	70	644
105	4197	0.749	8	41	70	614
2	3664	0.507	16	94	70	905
325	4596	1.09	17	36	70	395
63	657	0.256	29	57	11	951
204	2309	5.165	19	134	73	43
157	2327	2.827	4	30	55	555
154	5260	0.612	10	131	70	635
320	5401	0.118	29	88	70	396
49	1244	0.517	29	63	23	493
113	1692	0.308	16	61	33	43
105	2621	0.803	8	41	63	151
284	4512	5.281	9	113	70	43
141	5224	0.391	29	52	61	72
101	2434	0.337	29	103	60	43
316	782	0.877	2	75	11	138
68	2675	0.288	29	118	64	175
73	3810	0.071	29	127	70	118
43	1270	0.102	29	65	69	694
191	4259	0.016	29	68	70	773
322	4992	0.14	29	85	70	43
43	357	0.102	29	65	9	203
316	1882	0.214	2	75	34	43
141	3546	0.045	29	52	70	43
48	2582	0.195	29	34	12	43
263	4403	0.336	9	113	70	43
0	3287	0.81	29	115	70	723
49	4380	3.677	29	63	70	106
161	3790	1.111	4	26	70	542
216	3498	0.645	30	33	70	37
3	1828	0.257	29	28	33	509
115	3924	0.322	28	126	70	576
161	247	0.363	4	26	9	203
310	5138	5.397	29	77	2	43
36	685	0.732	29	71	11	164
306	4374	0.111	16	60	70	43
156	5286	0.397	4	30	70	872
51	513	0.227	29	63	9	26
247	2259	1.068	29	116	53	43
33	9	0.666	29	62	0	382
268	4568	0.13	12	42	70	351
243	342	0.196	27	101	9	203
211	613	0.513	25	123	10	637
219	5391	0.049	29	92	70	761
114	2253	0.216	28	126	70	601
324	5454	0.186	29	93	4	230
2	496	0.426	16	94	9	119
147	3548	0.138	8	125	70	354
70	2053	2.7	9	100	44	160
216	2353	0.449	30	33	59	532
241	4412	0.321	27	101	70	791
60	3432	0.477	29	73	70	166
3	5600	0.153	29	28	69	43
304	1503	1.359	16	60	24	43
266	1401	0.156	8	49	23	36
274	3233	0.444	5	76	70	372
112	4010	3.983	16	95	70	51
37	2438	0.526	29	129	60	227
323	1529	0.767	29	93	28	218
318	4649	1.065	29	88	70	62
188	4020	0.187	6	67	70	20
49	3324	0.199	29	63	70	210
167	3659	0.451	9	113	70	68
190	2555	0.184	25	14	62	299
90	4959	0.51	0	122	70	806
211	5355	0.155	25	123	70	744
153	1764	0.058	9	113	33	632
69	1889	0.681	9	100	34	78
124	2591	5.375	23	121	12	43
145	4165	1.397	28	126	70	43
8	4248	0.075	29	133	70	43
18	557	0.104	29	112	9	43
64	790	0.248	29	57	11	43
193	5759	0.597	10	98	70	369
252	5498	0.734	20	40	11	43
178	4018	0.82	2	24	70	20
38	3097	15.235	29	129	69	43
317	2688	0.212	29	88	69	43
179	227	0.064	2	56	9	203
262	765	0.395	9	113	11	163
180	589	0.409	2	56	9	29
196	281	0.177	16	32	9	203
23	3635	0.077	29	119	70	607
49	2134	0.35	29	63	48	323
272	4836	0.659	28	126	70	256
229	63	1.056	29	82	1	43
241	1739	0.054	27	101	33	43
263	4399	0.775	9	113	70	43
28	4442	0.256	29	110	70	369
261	525	0.383	9	113	9	26
115	496	0.328	28	126	9	119
151	3257	0.119	9	113	70	581
243	679	0.876	27	101	11	138
34	904	0.417	29	62	15	754
330	562	0.453	24	47	9	43
13	1552	0.52	29	11	29	604
232	5119	1.387	29	64	57	250
95	523	0.15	29	72	9	43
241	5381	0.57	27	101	70	367
206	1266	0.248	29	132	23	286
120	5185	0.804	21	106	28	777
89	1307	0.101	0	122	23	676
99	3090	0.345	9	113	69	692
59	5229	0.149	29	66	62	33
83	2628	0.387	9	113	67	43
141	5819	5.146	29	52	70	256
84	3395	0.652	9	130	70	457
68	1643	0.389	29	118	33	43
84	5249	0.049	9	130	69	43
41	1669	0.133	29	18	33	43
226	5439	0.16	29	108	9	43
335	5308	0.045	29	55	70	447
233	3669	0.055	29	64	70	1
21	2538	0.848	29	119	62	743
270	343	0.178	19	10	9	203
103	313	0.151	29	103	9	203
134	3024	0.292	29	51	69	43
158	3755	0.221	4	30	70	574
131	5432	0.518	11	84	70	233
278	5031	6.184	19	102	70	398
231	5779	5.597	29	74	70	256
257	5056	0.352	18	50	70	808
40	196	0.412	29	18	6	723
61	4571	0.251	29	90	70	800
147	2133	0.453	8	125	48	323
216	5717	1.162	30	33	70	474
230	3184	0.134	29	82	70	231
81	3581	5.68	25	123	70	43
199	4531	0.138	29	16	70	469
74	5382	0.115	29	127	70	98
185	5713	0.244	29	48	70	474
23	5476	0.031	29	119	9	26
309	5019	1.276	29	77	70	32
36	5492	0.043	29	71	9	25
63	1758	0.338	29	57	33	780
179	1305	0.189	2	56	23	295
106	1583	0.275	29	128	31	756
47	5176	0.829	29	34	23	519
238	1067	2.382	27	101	22	43
238	956	0.03	27	101	18	224
131	1853	0.161	11	84	34	43
328	1033	0.283	9	113	19	208
121	4073	0.218	21	106	70	43
74	3580	0.099	29	127	70	124
89	285	0.18	0	122	9	203
115	5292	2.331	28	126	70	469
17	5417	0.18	29	112	70	478
97	5422	1.193	9	113	70	375
44	5793	0.487	29	65	70	482
80	1826	0.286	15	17	33	43
75	2578	0.547	2	8	62	283
132	3745	0.165	9	113	70	43
253	5429	0.78	20	40	70	868
166	3518	0.074	29	6	70	43
238	4506	0.099	27	101	70	259
179	807	1.14	2	56	11	43
202	4938	0.386	29	27	70	124
196	5681	1.63	16	32	70	474
33	2057	0.521	29	62	44	86
332	554	0.557	29	58	9	485
51	5405	0.24	29	63	70	58
264	5348	0.685	9	100	70	10
34	4428	0.072	29	62	70	43
310	210	6.042	29	77	7	642
238	1954	0.02	27	101	43	38
260	4373	0.179	7	29	70	43
184	4451	0.761	17	31	70	723
289	2366	6.503	29	107	60	42
76	5031	0.329	2	8	70	398
165	1311	0.162	29	6	23	36
13	1775	0.158	29	11	33	699
260	967	0.197	7	29	28	892
134	2739	0.118	29	51	69	43
66	3221	0.412	18	50	70	372
75	2629	0.377	2	8	65	43
82	5212	0.095	26	25	53	113
109	4213	1.363	29	120	70	43
191	898	0.114	29	68	14	389
292	4365	0.072	2	2	70	43
31	5546	0.167	2	53	22	404
112	318	12.233	16	95	9	203
252	1046	0.542	20	40	21	752
284	5224	5.208	9	113	61	72
257	1279	0.091	18	50	23	286
264	2359	4.016	9	100	59	43
226	596	0.237	29	108	9	821
29	3322	0.326	28	126	70	210
0	4576	0.283	29	115	70	43
130	3871	0.551	11	84	70	43
260	3162	0.429	7	29	70	231
95	3377	0.075	29	72	70	5
238	2724	0.044	27	101	69	43
111	4216	1.13	14	86	70	723
174	190	0.971	9	113	6	43
38	5346	0.095	29	129	70	459
59	2836	0.157	29	66	69	43
242	4050	0.182	27	101	70	733
93	3632	0.35	29	97	70	607
136	1597	0.478	29	46	32	43
104	4416	0.956	8	41	70	98
99	5552	0.026	9	113	23	965
173	1083	0.131	29	55	22	628
180	541	0.006	2	56	9	864
104	1894	1.453	8	41	35	318
220	1657	0.208	29	59	33	43
322	5131	0.341	29	85	1	548
236	807	2.133	9	113	11	43
293	4308	0.273	29	96	70	98
22	2112	0.381	29	119	45	602
53	2678	0.213	29	21	64	175
250	4235	0.294	13	9	70	656
9	3568	0.252	29	133	70	874
152	5611	0.137	9	113	69	43
141	4981	10.132	29	52	70	43
169	5726	0.319	29	83	70	148
281	5326	11.112	19	102	70	643
270	5775	9.841	19	10	70	716
5	5748	0.056	29	15	70	868
212	3022	0.268	16	60	69	889
220	5779	0.354	29	59	70	256
45	1673	0.183	29	34	33	43
189	154	0.157	25	14	4	43
89	4841	0.593	0	122	70	723
144	2604	0.695	28	126	63	883
164	4501	0.431	29	39	70	635
226	1637	0.218	29	108	33	43
210	3411	0.457	29	81	70	166
173	4253	0.069	29	55	70	43
164	2484	6.95	29	39	61	108
321	3084	0.468	29	85	70	123
42	2067	0.374	29	92	45	108
9	987	0.225	29	133	18	43
203	649	0.225	29	27	11	951
96	1555	0.823	29	72	29	547
256	4069	0.055	18	50	69	266
121	3877	0.062	21	106	70	43
214	3656	0.2	16	60	70	876
235	2971	0.072	9	113	69	494
126	4606	0.959	29	7	70	43
285	4156	5.288	9	113	70	144
168	5669	0.491	9	113	70	399
208	4364	0.176	12	43	70	43
317	3534	0.024	29	88	70	371
95	5696	0.08	29	72	70	474
148	2975	0.074	9	113	69	43
121	3511	0.067	21	106	70	808
125	265	0.231	29	7	9	203
36	4673	0.128	29	71	70	885
18	4243	0.108	29	112	70	723
98	2152	0.634	9	113	48	323
182	4464	0.655	0	5	70	10
327	5671	0.362	17	36	70	399
200	3027	3.317	8	49	69	387
86	110	0.028	9	130	2	49
318	5805	0.875	29	88	70	479
273	3769	0.165	28	126	70	365
104	1031	1.471	8	41	19	208
64	643	0.261	29	57	11	661
292	1151	0.384	2	2	22	74
211	2058	0.988	25	123	44	43
89	188	1.032	0	122	6	358
89	5490	0.345	0	122	9	45
302	2693	0.557	3	91	69	43
269	1242	0.131	28	126	23	43
241	2813	0.041	27	101	69	43
327	1207	1.069	17	36	22	43
315	3125	0.123	29	3	70	43
166	2063	3.334	29	6	44	43
83	3318	0.389	9	113	70	210
327	2217	6.375	17	36	36	133
264	1380	0.049	9	100	23	286
149	3151	0.35	9	113	70	372
322	3763	0.037	29	85	70	903
284	3674	0.262	9	113	70	21
24	1637	0.197	29	119	33	43
18	1569	11.741	29	112	31	967
329	2588	1.432	9	113	12	43
136	1810	0.241	29	46	33	780
291	312	0.039	2	2	9	203
209	3721	0.079	29	99	70	22
223	4657	0.701	29	59	70	37
337	5783	0.962	29	117	70	387
21	4791	0.233	29	119	70	726
233	5364	0.058	29	64	70	581
232	5703	0.121	29	64	70	43
280	2059	8.9	19	102	44	43
13	1630	0.537	29	11	32	309
59	1215	0.675	29	66	22	43
217	338	0.387	30	33	9	203
104	5142	0.171	8	41	4	762
155	5437	0.703	10	131	70	367
273	516	0.362	28	126	9	26
60	2282	0.154	29	73	53	944
295	5672	0.067	29	19	70	399
221	1982	5.627	29	59	43	501
168	5287	0.363	9	113	70	872
41	775	1.136	29	18	11	673
220	5105	0.169	29	59	70	469
153	3205	0.348	9	113	70	372
276	1341	0.079	6	67	23	772
212	2594	0.432	16	60	69	43
108	3633	0.177	29	120	70	607
58	4393	0.05	29	45	70	233
284	4063	5.576	9	113	70	356
98	435	13.076	9	113	9	203
87	4290	0.199	27	101	70	629
110	2013	0.741	14	86	43	616
206	673	0.251	29	132	11	664
234	3857	0.099	2	20	70	764
268	5167	0.238	12	42	22	705
157	5284	0.359	4	30	70	482
156	3386	0.647	4	30	70	457
275	4984	0.873	5	76	70	446
317	1784	0.372	29	88	33	686
119	251	0.194	9	113	9	203
41	5394	0.028	29	18	70	98
244	1963	4.682	29	70	43	616
311	2362	0.85	29	111	59	878
249	287	0.052	29	116	9	203
171	3195	0.181	29	83	70	372
97	2862	0.037	9	113	69	43
117	5342	0.142	9	100	70	904
324	4511	0.388	29	93	70	644
208	5139	0.226	12	43	2	43
266	3054	0.18	8	49	69	43
63	4057	0.392	29	57	70	15
99	3394	0.903	9	113	70	457
196	4101	0.441	16	32	70	868
60	1023	0.428	29	73	18	63
18	1796	0.44	29	112	33	780
280	5289	0.4	19	102	70	21
246	3015	0.01	29	126	69	43
192	5023	0.668	10	98	70	189
139	1759	0.113	0	4	33	780
90	4149	0.107	0	122	70	640
82	1438	0.15	26	25	23	36
257	3883	0.41	18	50	70	392
266	1471	0.669	8	49	23	682
151	1228	0.07	9	113	23	36
283	1532	6.04	19	102	28	936
306	2585	0.357	16	60	12	59
52	2619	0.573	29	21	63	251
261	702	0.422	9	113	11	164
234	696	0.939	2	20	11	333
101	3773	0.191	29	103	70	43
49	5532	0.248	29	63	22	43
224	5424	0.18	29	59	70	455
254	743	0.676	20	40	11	550
90	1622	0.628	0	122	32	107
132	1194	0.083	9	113	22	894
17	2984	0.456	29	112	69	43
7	3330	0.028	29	15	70	210
244	4527	0.017	29	70	70	724
293	685	0.642	29	96	11	164
206	836	0.732	29	132	11	138
337	4355	0.404	29	117	70	599
28	5454	0.136	29	110	4	230
59	2183	0.942	29	66	49	43
167	5225	0.213	9	113	61	72
264	1510	1.249	9	100	26	321
114	5786	0.771	28	126	70	43
248	1380	0.492	29	116	23	286
298	1035	1.137	1	38	20	116
310	4417	5.628	29	77	70	98
272	3344	0.481	28	126	70	210
337	174	0.727	29	117	6	43
17	4405	0.041	29	112	70	43
84	3068	0.114	9	130	69	949
11	4504	0.046	29	105	70	707
308	1717	0.192	29	77	33	43
257	216	0.764	18	50	7	43
37	2591	1.274	29	129	12	43
238	1510	1.01	27	101	26	321
177	5589	0.143	9	113	60	43
308	2553	0.222	29	77	62	43
207	3413	0.466	29	132	70	166
145	14	0.883	28	126	0	348
129	1867	0.328	11	84	34	154
338	3382	0.198	29	87	70	5
81	4023	6.589	25	123	70	20
9	2543	0.378	29	133	62	291
97	3118	0.142	9	113	69	43
160	3761	0.578	4	26	70	632
281	4301	6.544	19	102	70	98
168	3226	0.386	9	113	70	231
257	4141	0.353	18	50	70	723
153	2489	0.065	9	113	61	896
40	3849	0.012	29	18	70	190
184	365	0.148	17	31	9	203
288	2406	0.332	29	107	60	43
61	4647	0.092	29	90	70	714
336	3214	0.472	29	117	70	231
310	181	5.974	29	77	6	487
58	1694	0.159	29	45	33	43
169	5449	0.112	29	83	4	149
153	4232	1.0	9	113	70	43
68	3088	0.575	29	118	69	304
189	3841	0.283	25	14	70	457
178	723	2.592	2	24	11	138
333	282	0.046	29	58	9	203
162	4363	0.239	29	44	70	43
34	4049	0.079	29	62	70	43
65	5041	0.299	29	79	70	43
35	1258	0.277	29	62	23	36
103	3797	0.13	29	103	70	542
67	3619	0.538	18	50	70	717
70	5789	0.424	9	100	70	256
181	5262	0.277	2	56	70	354
47	1628	0.91	29	34	32	60
11	1926	0.234	29	105	43	43
59	5810	0.179	29	66	70	256
318	1387	0.444	29	88	23	499
276	436	13.174	6	67	9	203
131	5481	0.518	11	84	9	26
66	415	0.201	18	50	9	203
217	317	12.406	30	33	9	203
210	2505	0.448	29	81	61	55
167	1389	0.038	9	113	23	274
177	3341	0.761	9	113	70	210
261	4398	0.163	9	113	70	796
255	4045	0.707	25	123	70	477
289	482	0.051	29	107	9	119
328	2492	0.214	9	113	61	43
244	2882	0.132	29	70	69	43
63	2286	0.838	29	57	53	103
20	2333	0.146	29	135	58	844
164	220	0.149	29	39	9	203
250	1038	0.057	13	9	21	43
141	3106	10.336	29	52	69	171
82	5515	0.407	26	25	11	333
217	2778	0.339	30	33	69	43
194	4198	0.634	19	136	70	235
78	14	0.817	9	113	0	348
231	121	1.908	29	74	8	409
317	5367	0.445	29	88	70	457
222	4288	0.016	29	59	70	368
173	988	0.364	29	55	18	43
11	3018	0.857	29	105	69	287
9	3171	0.168	29	133	70	372
145	5472	0.172	28	126	9	26
242	3812	0.107	27	101	70	118
244	1269	0.117	29	70	69	694
247	1846	0.253	29	116	34	43
34	5742	0.052	29	62	70	43
295	5178	0.474	29	19	23	682
59	3890	0.252	29	66	70	65
318	60	1.084	29	88	1	43
238	3743	0.168	27	101	70	742
246	4492	0.095	29	126	70	98
283	2268	0.101	19	102	53	303
210	1442	0.394	29	81	23	36
157	5287	0.66	4	30	70	872
96	4169	0.287	29	72	70	98
314	5766	0.08	29	3	70	632
98	813	3.296	9	113	11	43
299	2587	0.492	1	38	12	43
13	992	2.987	29	11	18	108
22	862	0.39	29	119	11	163
36	1150	0.575	29	71	22	74
169	1628	0.927	29	83	32	60
127	952	0.412	29	7	17	94
32	3018	5.417	29	54	69	287
134	4955	0.319	29	51	70	723
105	5062	0.269	8	41	70	524
236	3167	0.539	9	113	70	372
216	2380	0.383	30	33	60	436
287	3432	0.216	29	69	70	166
124	186	0.823	23	121	6	264
100	4858	0.864	29	103	70	635
51	4655	0.214	29	63	70	639
97	504	1.232	9	113	9	119
100	3727	0.052	29	103	70	799
28	4811	0.252	29	110	9	711
257	1328	0.047	18	50	23	36
42	2438	0.518	29	92	60	227
155	4464	1.974	10	131	70	10
121	4130	0.158	21	106	70	43
169	1161	0.124	29	83	22	406
106	2388	0.246	29	128	60	436
132	5662	0.167	9	113	70	240
55	658	2.606	29	37	11	951
136	3340	0.178	29	46	70	210
272	3809	0.085	28	126	70	118
83	2590	0.85	9	113	12	43
76	5470	0.07	2	8	9	26
56	2586	1.699	29	23	12	43
151	1455	0.349	9	113	23	751
281	5352	5.808	19	102	70	121
192	128	0.062	10	98	4	427
36	2219	0.256	29	71	36	556
163	2955	0.211	29	39	69	43
207	4895	0.211	29	132	70	465
287	313	0.05	29	69	9	203
296	1311	0.362	1	38	23	36
222	2042	1.719	29	59	44	328
283	5089	5.855	19	102	70	43
195	3619	0.463	19	136	70	717
13	5322	0.249	29	11	70	796
51	2253	0.081	29	63	70	601
91	1598	0.295	15	17	32	43
48	3948	0.535	29	34	70	43
288	2594	0.534	29	107	69	43
211	3189	0.334	25	123	70	372
104	1815	0.243	8	41	33	185
299	1346	0.815	1	38	23	221
297	5642	0.17	1	1	70	43
35	3178	0.189	29	62	70	231
333	241	8.208	29	58	9	203
204	4937	0.6	19	134	70	868
309	4123	0.207	29	77	70	351
184	120	0.956	17	31	3	240
217	2356	1.719	30	33	70	43
290	3863	0.154	29	107	70	764
229	2784	0.127	29	82	69	43
44	3321	0.172	29	65	70	210
7	5288	0.191	29	15	70	245
320	5077	3.251	29	88	70	37
129	3599	1.063	11	84	70	43
177	3942	0.149	9	113	70	43
270	2275	0.328	19	10	53	742
98	2470	0.128	9	113	61	108
5	4137	0.163	29	15	70	43
252	5	1.562	20	40	70	816
17	5367	0.076	29	112	70	457
305	2305	0.354	16	60	54	979
274	2914	0.094	5	76	69	43
336	2390	0.26	29	117	60	436
23	5385	0.985	29	119	70	43
285	5816	6.028	9	113	70	43
329	4701	0.617	9	113	70	868
66	941	0.204	18	50	17	43
174	4036	2.459	9	113	70	570
14	2742	0.115	29	11	69	43
20	3634	0.034	29	135	70	607
211	3928	0.278	25	123	70	576
1	714	0.387	29	115	11	164
274	450	11.244	5	76	9	203
39	5545	0.111	29	18	22	43
106	3426	0.492	29	128	70	166
135	2163	0.464	25	123	48	43
203	1160	0.118	29	27	22	406
272	2476	0.12	28	126	61	108
34	962	0.225	29	62	28	892
51	4921	0.23	29	63	70	43
56	3134	0.768	29	23	69	609
266	715	0.376	8	49	11	164
3	3700	4.012	29	28	70	815
187	2895	0.089	10	78	69	43
98	5734	0.465	9	113	70	762
217	3970	1.004	30	33	70	7
233	251	0.032	29	64	9	203
166	626	0.495	29	6	11	661
91	1943	0.053	15	17	43	294
103	2273	0.178	29	103	53	970
193	1164	0.156	10	98	22	149
142	1683	0.053	9	12	33	43
275	282	0.287	5	76	9	203
265	2562	0.035	8	49	62	521
231	3973	0.026	29	74	70	126
223	5483	0.124	29	59	9	119
220	1985	0.372	29	59	43	750
154	4691	0.698	10	131	70	583
251	1292	0.06	13	9	23	286
118	2038	5.003	9	113	44	43
268	4864	0.461	12	42	70	31
292	1693	0.16	2	2	33	43
82	131	0.121	26	25	4	43
85	40	1.526	9	130	1	819
16	4049	0.064	29	22	70	43
39	989	0.21	29	18	18	678
209	4794	0.18	29	99	70	774
15	3040	0.372	29	22	69	613
12	803	0.889	29	105	11	164
263	5659	0.241	9	113	70	240
319	2580	4.709	29	88	12	43
129	4404	0.359	11	84	70	43
3	4987	0.673	29	28	70	148
67	3088	0.218	18	50	69	304
300	2407	0.633	16	124	60	43
263	685	0.955	9	113	11	164
274	5688	0.206	5	76	70	474
53	1961	0.201	29	21	43	511
123	5745	0.479	23	121	70	21
66	5167	0.162	18	50	22	705
107	3252	1.034	29	128	70	581
171	1039	0.282	29	83	21	43
194	4286	0.176	19	136	70	43
275	1696	0.146	5	76	33	43
22	3780	0.177	29	119	70	243
303	4750	0.319	16	60	70	789
166	1506	0.332	29	6	25	43
310	5671	0.116	29	77	70	399
92	3518	0.187	15	17	70	43
268	399	0.178	12	42	9	203
298	1593	0.766	1	38	30	689
326	3392	0.892	17	36	70	457
195	5483	0.187	19	136	9	119
48	3515	0.058	29	34	70	43
20	3438	0.215	29	135	70	43
216	3556	0.234	30	33	70	354
229	4394	2.023	29	82	70	233
203	2410	2.07	29	27	60	43
331	2579	2.759	22	13	12	43
303	5543	1.239	16	60	22	43
130	2173	0.581	11	84	49	941
263	2410	0.209	9	113	60	43
126	4236	0.355	29	7	70	791
59	4159	0.177	29	66	70	577
22	2463	0.412	29	119	61	276
2	5040	4.498	16	94	70	595
75	1412	5.189	2	8	69	648
224	5749	0.132	29	59	70	449
271	1840	0.175	19	10	33	269
250	232	0.172	13	9	9	203
305	2696	0.308	16	60	69	43
229	2104	0.773	29	82	45	71
157	3630	0.218	4	30	70	124
304	1995	0.255	16	60	43	929
96	4992	0.322	29	72	70	43
214	1650	0.366	16	60	33	43
74	925	0.43	29	127	17	43
21	3882	0.232	29	119	70	392
262	346	0.354	9	113	9	203
191	2208	1.361	29	68	50	66
308	811	0.688	29	77	11	163
108	1695	0.217	29	120	33	43
36	299	11.416	29	71	9	203
151	2234	0.672	9	113	36	159
